,Map,Round_ID,Round_Number,Player_ID,Agent_ID,Round_Score,Weapon_ID,Armor_ID,Remaining_Credits,Spent_Credits,Loadout_Value,Survived,kast
217,Bind,2577063,22,3599,6,260,4,2.0,500,4100,4500,False,True
218,Bind,2577063,22,11412,21,0,4,2.0,1250,4200,4450,False,False
219,Bind,2577063,22,1804,8,304,4,2.0,550,4300,4650,False,True
220,Breeze,2577064,1,763,16,0,11,,50,250,250,False,False
221,Breeze,2577064,1,1012,6,16,12,,100,700,700,False,False
222,Breeze,2577064,1,1023,3,0,12,,0,800,500,False,False
223,Breeze,2577064,1,1802,12,310,12,1.0,400,900,900,False,True
224,Breeze,2577064,1,1597,4,50,13,,0,800,800,False,False
225,Breeze,2577064,1,4509,14,710,12,,50,750,900,True,True
226,Breeze,2577064,1,1091,6,25,11,1.0,0,800,800,True,True
227,Breeze,2577064,1,3599,3,214,12,,0,800,600,True,True
228,Breeze,2577064,1,11412,4,250,12,,0,800,800,False,True
229,Breeze,2577064,1,1804,15,0,12,,0,800,650,True,True
230,Breeze,2577065,2,763,16,836,11,,1500,450,700,False,True
231,Breeze,2577065,2,1012,6,0,11,,1600,400,400,False,True
232,Breeze,2577065,2,1023,3,0,11,,1500,400,400,False,False
233,Breeze,2577065,2,1802,12,78,11,,2500,0,0,False,False
234,Breeze,2577065,2,1597,4,26,11,,1600,300,300,False,False
235,Breeze,2577065,2,4509,14,200,5,2.0,150,3800,4300,True,True
236,Breeze,2577065,2,1091,6,503,5,1.0,650,2650,3550,True,True
237,Breeze,2577065,2,3599,3,250,12,1.0,2500,1000,1100,False,True
238,Breeze,2577065,2,11412,4,172,12,1.0,1900,1600,1600,False,True
239,Breeze,2577065,2,1804,15,0,16,1.0,200,3100,3600,False,True
240,Breeze,2577066,3,763,16,258,6,2.0,100,4400,4600,False,True
241,Breeze,2577066,3,1012,6,215,4,1.0,500,3500,3900,False,True
242,Breeze,2577066,3,1023,3,0,6,1.0,300,3600,3300,False,False
243,Breeze,2577066,3,1802,12,300,15,,0,4900,4900,False,True
244,Breeze,2577066,3,1597,4,255,4,2.0,100,3900,4200,False,True
245,Breeze,2577066,3,4509,14,299,16,2.0,3150,500,4500,False,True
246,Breeze,2577066,3,1091,6,0,5,1.0,3550,800,3550,False,True
247,Breeze,2577066,3,3599,3,0,4,2.0,1600,4400,4100,False,False
248,Breeze,2577066,3,11412,4,825,5,1.0,2250,3150,3150,False,True
249,Breeze,2577066,3,1804,15,248,13,1.0,2000,1500,1650,False,True
250,Breeze,2577067,4,763,16,280,13,,1700,1500,1500,False,True
251,Breeze,2577067,4,1012,6,10,13,1.0,1800,1800,1800,False,False
252,Breeze,2577067,4,1023,3,289,13,1.0,1400,1800,1800,False,True
253,Breeze,2577067,4,1802,12,0,13,,2300,800,1000,False,True
254,Breeze,2577067,4,1597,4,0,17,1.0,1300,1900,2050,False,False
255,Breeze,2577067,4,4509,14,475,4,2.0,2000,4650,4650,False,True
256,Breeze,2577067,4,1091,6,25,4,2.0,2750,4100,4500,True,True
257,Breeze,2577067,4,3599,3,760,23,1.0,1600,3300,3000,True,True
258,Breeze,2577067,4,11412,4,0,4,2.0,1550,4600,4600,True,True
259,Breeze,2577067,4,1804,15,40,4,2.0,1150,4350,4200,False,True
260,Breeze,2577068,5,763,16,122,6,2.0,450,4350,4600,True,True
261,Breeze,2577068,5,1012,6,357,4,2.0,200,4500,4500,False,True
262,Breeze,2577068,5,1023,3,0,6,2.0,600,3900,3900,False,True
263,Breeze,2577068,5,1802,12,255,15,1.0,100,5100,5100,False,True
264,Breeze,2577068,5,1597,4,689,4,2.0,300,3900,4600,True,True
265,Breeze,2577068,5,4509,14,321,4,2.0,1150,4550,4650,False,True
266,Breeze,2577068,5,1091,6,329,4,2.0,2750,400,4500,False,True
267,Breeze,2577068,5,3599,3,0,4,1.0,5000,500,3500,False,False
268,Breeze,2577068,5,11412,4,29,4,2.0,4150,700,4600,False,True
269,Breeze,2577068,5,1804,15,260,4,2.0,3000,4350,4350,False,True
270,Breeze,2577069,6,763,16,56,6,2.0,100,3350,4350,False,True
271,Breeze,2577069,6,1012,6,194,5,1.0,350,3050,2850,False,True
272,Breeze,2577069,6,1023,3,456,8,2.0,150,3450,2850,True,True
273,Breeze,2577069,6,1802,12,310,15,2.0,1750,1550,6250,True,True
274,Breeze,2577069,6,1597,4,355,4,2.0,1900,2000,4900,False,True
275,Breeze,2577069,6,4509,14,0,4,1.0,2400,4050,4050,False,False
276,Breeze,2577069,6,1091,6,589,4,2.0,650,4500,4500,False,True
277,Breeze,2577069,6,3599,3,235,4,1.0,400,3900,3500,False,True
278,Breeze,2577069,6,11412,4,40,4,2.0,2150,4200,4600,False,False
279,Breeze,2577069,6,1804,15,120,4,2.0,1050,4350,4500,False,False
280,Breeze,2577070,7,763,16,539,5,2.0,1400,3750,3750,True,True
281,Breeze,2577070,7,1012,6,235,4,1.0,300,3900,3700,True,True
282,Breeze,2577070,7,1023,3,255,4,2.0,1950,1600,3900,False,True
283,Breeze,2577070,7,1802,12,0,15,2.0,1250,1000,6250,True,True
284,Breeze,2577070,7,1597,4,0,4,2.0,500,4600,4600,False,False
285,Breeze,2577070,7,4509,14,40,4,1.0,1300,3800,4100,False,False
286,Breeze,2577070,7,1091,6,0,4,1.0,50,3700,3700,False,False
287,Breeze,2577070,7,3599,3,439,23,1.0,0,3300,3100,False,True
288,Breeze,2577070,7,11412,4,240,4,1.0,1250,3600,4000,False,True
289,Breeze,2577070,7,1804,15,0,4,1.0,0,3750,3600,True,True
290,Breeze,2577071,8,763,16,195,4,2.0,3550,1250,4600,False,True
291,Breeze,2577071,8,1012,6,575,4,2.0,1800,1700,4600,False,True
292,Breeze,2577071,8,1023,3,30,4,2.0,650,4500,4200,False,True
293,Breeze,2577071,8,1802,12,0,15,2.0,1200,150,6250,False,False
294,Breeze,2577071,8,1597,4,40,4,2.0,2200,4200,4900,False,False
295,Breeze,2577071,8,4509,14,0,5,1.0,1250,2950,3350,False,False
296,Breeze,2577071,8,1091,6,25,13,1.0,1350,1600,1600,True,True
297,Breeze,2577071,8,3599,3,300,13,1.0,1800,1300,1300,False,True
298,Breeze,2577071,8,11412,4,130,16,1.0,1550,2800,3350,False,True
299,Breeze,2577071,8,1804,15,1020,4,1.0,700,300,3450,True,True
300,Breeze,2577072,9,763,16,253,6,1.0,1850,3800,4000,False,True
301,Breeze,2577072,9,1012,6,26,4,2.0,0,4100,4300,False,True
302,Breeze,2577072,9,1023,3,0,13,2.0,150,2400,1900,False,True
303,Breeze,2577072,9,1802,12,0,11,2.0,1550,1550,1550,False,False
304,Breeze,2577072,9,1597,4,402,4,1.0,400,3700,4000,True,True
305,Breeze,2577072,9,4509,14,280,4,2.0,250,4300,4550,False,True
306,Breeze,2577072,9,1091,6,240,4,1.0,4050,600,4700,True,True
307,Breeze,2577072,9,3599,3,324,23,2.0,1300,4000,3600,False,True
308,Breeze,2577072,9,11412,4,80,4,1.0,850,4000,4000,True,True
309,Breeze,2577072,9,1804,15,235,4,2.0,3350,1450,4350,True,True
310,Breeze,2577073,10,763,16,140,11,1.0,1550,650,1100,False,True
311,Breeze,2577073,10,1012,6,185,13,,1200,1200,1000,True,True
312,Breeze,2577073,10,1023,3,363,13,,1750,800,800,True,True
